2021-07-01 21:50:52.835 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":22446080,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:50:53.838 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:50:55.835 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:50:55.840 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:51:02.835 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":18186240,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:51:03.840 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:51:04.836 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:51:04.840 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:51:12.849 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":22532096,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:51:13.837 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
2021-07-01 21:51:13.837 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:51:13.845 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:51:22.834 [pool-8-thread-1] WARN  com.example.springbootdemo.daemon.HeartBeats - HeartBeats task alive , localHost: 192.168.8.238, worker info : {"@type":"com.example.springbootdemo.common.db.dao.worker.model.Worker","freeMemory":47865856,"host":"192.168.8.238","jobCount":0,"memory":17179869184}
2021-07-01 21:51:22.840 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 已提交列表的任务个数: 0
2021-07-01 21:51:22.845 [pool-10-thread-1] WARN  com.example.springbootdemo.daemon.JobScheduler - 服务正常的worker: [192.168.8.238]
2021-07-01 21:51:23.840 [pool-9-thread-1] WARN  com.example.springbootdemo.daemon.JobFetcher - fetch jobs list: []
